Dates,URL,News,Price Direction Up,Price Direction Constant,Price Direction Down,Asset Comparision,Past Information,Future Information,Price Sentiment,econ_themes,hybrid_text,cluster,x,y
28-01-2016,http://www.marketwatch.com/story/april-gold-down-20-cents-to-settle-at-111610oz-2016-01-28,"april gold down 20 cents to settle at $1,116.10/oz",0,0,1,0,1,0,negative,"['settle', '116 10', 'april', 'oz', 'gold 20 cents']","april gold down 20 cents to settle at $1,116.10/oz settle 116 10 april oz gold 20 cents",21,0.4792112,0.039362676
13-09-2017,http://www.marketwatch.com/story/gold-prices-snap-brief-slide-take-new-aim-at-one-year-highs-2017-09-13,gold suffers third straight daily decline,0,0,1,0,1,0,negative,"['straight', 'suffers', 'daily', 'decline', 'gold']",gold suffers third straight daily decline straight suffers daily decline gold,-1,-0.04938788,0.11358359
26-07-2016,http://www.marketwatch.com/story/gold-futures-edge-up-after-two-session-decline-2016-07-26,Gold futures edge up after two-session decline,1,0,0,0,1,0,positive,"['session', 'gold', 'decline', 'edge', 'gold futures']",Gold futures edge up after two-session decline session gold decline edge gold futures,-1,-0.09629032,-0.43770486
28-02-2018,https://www.metalsdaily.com/link/277199/dent-research-is-golds-day-in-the-sun-coming-soon.htm,dent research : is gold's day in the sun coming soon?,0,0,0,0,0,1,none,"['coming', 'soon', 'day sun', 'research gold', 'dent research']",dent research : is gold's day in the sun coming soon? coming soon day sun research gold dent research,-1,-0.094294965,0.06953794
06-09-2017,http://www.marketwatch.com/story/gold-steadies-near-best-mark-in-a-year-after-dovish-fed-view-stalls-dollar-2017-09-06,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",0,0,1,0,1,0,negative,"['snaps day', 'gold', 'lawmakers reach', 'rally trump', 'debt ceiling deal']","Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal snaps day gold lawmakers reach rally trump debt ceiling deal",-1,-0.114196524,0.11927834
16-08-2016,http://www.marketwatch.com/story/dec-gold-climbs-940-or-07-to-settle-at-135690oz-2016-08-16,"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",1,0,0,0,1,0,positive,"['dec', '40 settle', 'climbs', 'gold', '356 90 oz']","Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz dec 40 settle climbs gold 356 90 oz",21,0.44029927,0.060084384
24-09-2013,https://economictimes.indiatimes.com/markets/commodities/gold-falls-by-rs-25-on-sluggish-demand-global-cues/articleshow/22998672.cms,"gold falls by rs 25 on sluggish demand, global cues",0,0,1,0,1,0,negative,"['global cues', '25', 'rs', 'sluggish demand', 'gold falls']","gold falls by rs 25 on sluggish demand, global cues global cues 25 rs sluggish demand gold falls",19,-0.11188017,0.17733994
23-09-2016,http://www.marketwatch.com/story/gold-futures-fall-for-the-session-but-gain-for-the-week-2016-09-23,"Gold futures fall for the session, but gain for the week",1,0,1,0,1,0,positive,"['fall', 'session', 'gain', 'week', 'gold futures']","Gold futures fall for the session, but gain for the week fall session gain week gold futures",-1,-0.049719855,-0.42089885
21-10-2012,https://www.thehindubusinessline.com/opinion/columns/g-chandrashekhar/gold-struggles-silver-slides-base-metals-falter/article20517742.ece1,"Gold struggles; silver slides, base metals falter",0,1,0,1,1,0,neutral,"['falter', 'base', 'slides', 'metals', 'gold struggles silver']","Gold struggles; silver slides, base metals falter falter base slides metals gold struggles silver",-1,-0.110019065,0.10050073
16-03-2018,http://www.marketwatch.com/story/april-gold-holds-slight-gain-up-250-or-02-at-132020oz-2018-03-16,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",1,0,0,0,1,0,positive,"['1320', 'slight', 'gain 50', '20 oz', 'april gold holds']","april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz. 1320 slight gain 50 20 oz april gold holds",21,0.38587028,0.13277169
