,Dates,News,original_sentiment,VADER_sentiment
0,28-01-2016,"april gold down 20 cents to settle at $1,116.10/oz",negative,0.0
1,13-09-2017,gold suffers third straight daily decline,negative,-0.296
2,26-07-2016,Gold futures edge up after two-session decline,positive,0.0
3,28-02-2018,dent research : is gold's day in the sun coming soon?,none,0.0
4,06-09-2017,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",negative,0.0258
5,16-08-2016,"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",positive,0.0
6,24-09-2013,"gold falls by rs 25 on sluggish demand, global cues",negative,-0.4939
7,23-09-2016,"Gold futures fall for the session, but gain for the week",positive,0.6808
8,21-10-2012,"Gold struggles; silver slides, base metals falter",neutral,-0.3612
9,16-03-2018,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",positive,0.4779
10,04-02-2009,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",positive,0.0
11,28-07-2017,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",negative,0.0
12,31-10-2011,"gold loses 1.3%, but logs monthly gain of 6.3%",positive,0.6059
13,21-09-2013,gold recovery? here's one way to play it,positive,0.34
14,22-09-2017,"gold prices rebound rs 350 on global cues, weak rupee",positive,-0.4404
15,11-05-2016,"can investment in gold, sensex & ppfs give the same returns?",none,0.0
16,14-05-2013,gold rush spooks economy as trade deficit surges to $17.8 bn,positive,-0.4019
17,04-09-2018,"Gold futures down at Rs 30,244 ",negative,0.0
18,04-09-2018,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",positive,0.0
19,09-12-2016,gold prices slip lower as dollar remains supported,negative,0.0258
20,03-02-2017,gold to trade in 28670-29160 range: achiievers equities,neutral,0.0
21,19-06-2015,"Gold holds firm near $1,200 on dovish Fed",neutral,0.0
22,25-09-2017,Gold prices finish at a more than one-week high,positive,0.0
23,28-02-2018,india : is gold a good investment in a volatile market?,none,0.4404
24,13-12-2012,gold futures down over $20/oz ahead of settlement,negative,0.0
25,30-01-2017,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",positive,0.34
26,15-03-2006,april gold up $1.40 to end the day at $554.40/oz in ny,positive,0.0
